2025-11-25 13:08:23.231 [info] Started local extension host with pid 13460.
2025-11-25 13:08:23.265 [info] Placing extension(s) vscodevim.vim on a separate extension host.
2025-11-25 13:08:23.373 [info] Started local extension host with pid 13482.
2025-11-25 13:08:23.484 [info] MCP Registry configured: https://api.mcp.github.com/2025-09-15
2025-11-25 13:08:23.631 [info] Settings Sync: Account status changed from uninitialized to unavailable
2025-11-25 13:08:25.881 [info] [perf] Render performance baseline is 13ms
2025-11-25 13:08:31.704 [info] Auto updating outdated extensions. charliermarsh.ruff, ms-python.debugpy, ms-python.python, ms-python.vscode-pylance, ms-python.vscode-python-envs, vscodevim.vim
2025-11-25 13:09:23.100 [error] An unknown error occurred. Please consult the log for more details.
2025-11-25 13:13:49.164 [error] An unknown error occurred. Please consult the log for more details.
2025-11-25 13:15:35.146 [error] An unknown error occurred. Please consult the log for more details.
2025-11-25 14:06:13.525 [error] An unknown error occurred. Please consult the log for more details.
2025-11-25 14:07:11.987 [error] An unknown error occurred. Please consult the log for more details.
2025-11-25 14:08:39.015 [error] An unknown error occurred. Please consult the log for more details.
2025-11-25 14:11:15.443 [error] An unknown error occurred. Please consult the log for more details.
2025-11-25 14:16:17.377 [error] An unknown error occurred. Please consult the log for more details.
2025-11-25 14:21:19.296 [error] An unknown error occurred. Please consult the log for more details.
2025-11-25 14:26:21.181 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 12:55:25.335 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 13:00:27.355 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 13:05:29.410 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 13:10:31.449 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 13:15:33.473 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 13:20:35.470 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 13:25:37.500 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 13:30:45.435 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 13:35:47.463 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 13:40:49.483 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 13:45:51.319 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 13:50:53.125 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 13:55:54.973 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 14:03:01.021 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 14:08:02.874 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 14:13:04.717 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 14:18:06.563 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 14:23:09.405 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 14:28:11.237 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 14:33:13.088 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 14:38:14.951 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 14:43:16.772 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 14:48:18.612 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 14:53:20.442 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 14:58:22.286 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 15:03:24.114 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 15:08:25.944 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 15:13:27.826 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 15:18:29.675 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 15:23:31.524 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 15:28:33.344 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 15:33:35.178 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 15:38:36.992 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 15:43:38.760 [error] An unknown error occurred. Please consult the log for more details.
2025-11-27 15:48:40.529 [error] An unknown error occurred. Please consult the log for more details.
